card_id,customer_id,card_type,network,card_limit_usd
88,366,credit,visa,5844.0
89,2370,debit,mastercard,790.0
90,3436,debit,mastercard,3668.0
91,4258,credit,amex,6417.0
92,2695,credit,amex,5421.0
93,3130,credit,visa,5446.0
94,4069,credit,mastercard,21564.0
95,3637,credit,mastercard,2871.0
96,2676,credit,discover,3636.0
97,2832,credit,visa,11949.0
98,4972,debit,mastercard,1275.0
99,3786,credit,visa,4183.0
100,1206,credit,visa,2762.0
101,2269,credit,mastercard,12534.0
102,3711,credit,visa,3931.0
103,2611,credit,visa,5190.0
104,2162,credit,mastercard,6961.0
105,3042,credit,visa,3880.0
106,1880,credit,visa,10532.0
107,3391,credit,mastercard,6704.0
108,3658,credit,mastercard,4268.0
109,4491,credit,mastercard,4461.0
110,4778,credit,discover,12689.0
111,3558,credit,visa,5771.0
112,3778,credit,visa,9020.0
113,3862,debit,visa,1725.0
114,1651,credit,visa,2759.0
115,4578,credit,visa,9638.0
116,2550,credit,amex,11349.0
117,4338,credit,visa,16667.0
118,1086,credit,visa,2565.0
119,1552,credit,mastercard,1368.0
120,3102,debit,mastercard,2014.0
121,2893,credit,mastercard,4916.0
122,2013,debit,mastercard,1664.0
123,1105,credit,visa,7001.0
124,1141,debit,mastercard,1396.0
125,3635,credit,visa,3505.0
126,106,credit,mastercard,6365.0
127,598,debit,mastercard,1904.0
128,4627,credit,visa,7241.0
129,4896,credit,visa,7268.0
130,395,credit,visa,8281.0
131,712,credit,mastercard,2848.0
132,1647,credit,visa,6466.0
133,2930,debit,mastercard,3555.0
134,953,credit,mastercard,5492.0
135,4912,credit,visa,4382.0
136,2471,credit,mastercard,4568.0
137,2686,debit,visa,1900.0
138,975,credit,mastercard,10480.0
139,1539,debit,visa,1718.0
140,3682,credit,visa,12858.0
141,3164,debit,visa,1656.0
142,1125,debit,amex,1789.0
143,2208,debit,mastercard,2718.0
144,928,credit,mastercard,12713.0
145,2038,credit,mastercard,4091.0
146,1085,credit,mastercard,7271.0
147,4899,credit,mastercard,3767.0
148,1488,credit,visa,7618.0
149,2370,credit,mastercard,4809.0
150,3210,debit,visa,1361.0
151,206,credit,amex,3620.0
152,1049,credit,amex,2931.0
153,4945,credit,visa,30000.0
154,3485,credit,amex,6868.0
155,1210,credit,visa,19290.0
156,2151,debit,mastercard,2772.0
157,4288,credit,mastercard,2928.0
158,986,credit,visa,7950.0
159,1495,credit,visa,3473.0
160,1201,debit,mastercard,2592.0
161,3325,debit,visa,1388.0
162,2637,debit,visa,4348.0
163,2504,credit,mastercard,4327.0
164,1894,debit,visa,2330.0
165,1640,credit,visa,6764.0
166,2569,debit,discover,1729.0
167,3996,credit,mastercard,7148.0
168,4063,credit,mastercard,11706.0
169,3923,credit,visa,7608.0
170,230,credit,discover,6415.0
171,2451,credit,visa,7870.0
172,1969,credit,visa,3237.0
173,4677,credit,visa,10679.0
174,2078,credit,mastercard,3645.0
175,1235,debit,visa,1274.0
176,1255,credit,visa,9753.0
177,974,credit,mastercard,8763.0
178,2210,debit,mastercard,4236.0
179,1321,debit,visa,1561.0
180,2834,credit,mastercard,4477.0
181,1155,credit,visa,4143.0
182,2925,credit,visa,15926.0
183,3079,debit,visa,2615.0
184,3350,credit,discover,3799.0
185,4413,credit,mastercard,8590.0
186,384,credit,visa,7875.0
187,265,credit,visa,5627.0
188,2301,debit,visa,2270.0
189,2581,debit,mastercard,748.0
190,3789,credit,mastercard,10647.0
191,1135,debit,visa,2742.0
192,2276,debit,amex,2719.0
193,3057,debit,visa,1137.0
194,3283,credit,visa,8433.0
195,2716,debit,visa,1340.0
196,2953,credit,visa,3511.0
197,821,credit,mastercard,11647.0
198,2324,credit,visa,3964.0
199,2708,credit,mastercard,2570.0
200,395,credit,visa,12766.0
201,4844,debit,visa,2349.0
202,3167,debit,visa,2913.0
203,3589,debit,visa,2729.0
204,2673,credit,visa,4620.0
205,4654,credit,visa,20172.0
206,29,credit,discover,6306.0
207,4791,credit,mastercard,7942.0
208,1035,credit,visa,9850.0
209,4423,debit,mastercard,1274.0
210,307,credit,visa,11357.0
211,1565,credit,mastercard,8006.0
212,2852,debit,amex,1875.0
213,3289,credit,visa,4618.0
214,76,credit,discover,8283.0
215,1795,credit,visa,6605.0
216,4213,credit,visa,11671.0
217,916,debit,mastercard,5000.0
218,4738,credit,mastercard,18327.0
219,3552,credit,visa,7859.0
220,4878,credit,visa,6232.0
221,4517,debit,visa,1221.0
222,1133,credit,visa,6612.0
223,4706,credit,visa,4845.0
224,2476,credit,visa,9259.0
225,1293,credit,discover,6595.0
226,4456,credit,mastercard,17532.0
227,2353,credit,discover,5342.0
228,3437,credit,visa,6246.0
229,3051,credit,visa,5339.0
230,1494,credit,mastercard,16891.0
231,4915,credit,mastercard,3220.0
232,4170,debit,mastercard,1298.0
233,2647,debit,visa,2426.0
234,2870,credit,mastercard,3774.0
235,348,debit,visa,2459.0
236,3650,credit,visa,4166.0
237,4550,credit,visa,6746.0
238,4848,credit,visa,15398.0
239,2800,debit,visa,1809.0
240,4988,credit,discover,7128.0
241,3992,debit,mastercard,1903.0
242,2525,credit,visa,6460.0
243,4002,debit,visa,1553.0
244,784,credit,visa,5373.0
245,3379,credit,amex,1759.0
246,3098,credit,mastercard,6526.0
247,2466,credit,mastercard,6846.0
248,3220,credit,discover,7315.0
249,4261,credit,visa,6053.0
250,2861,debit,mastercard,3328.0
251,1896,debit,visa,1680.0
252,2111,credit,mastercard,16036.0
253,2842,credit,amex,6496.0
254,2908,credit,visa,9195.0
255,1568,credit,visa,3957.0
256,2671,debit,visa,2853.0
257,1438,debit,visa,1823.0
258,4724,credit,visa,12668.0
259,2673,credit,visa,3048.0
260,4189,credit,visa,7992.0
261,1898,credit,visa,7867.0
262,1969,debit,amex,2774.0
263,1443,debit,visa,1830.0
264,2855,credit,visa,2413.0
265,3082,credit,visa,7034.0
266,2831,credit,discover,4182.0
267,4185,credit,visa,4811.0
268,2554,credit,visa,5365.0
269,4106,credit,visa,3919.0
270,291,debit,visa,1512.0
271,1801,credit,discover,6634.0
272,3563,debit,mastercard,2271.0
273,1918,debit,visa,1592.0
274,3657,credit,visa,4752.0
275,2960,credit,visa,6556.0
276,2421,debit,visa,3091.0
277,2790,credit,visa,4060.0
278,4508,credit,mastercard,8129.0
279,3393,debit,visa,1544.0
280,4920,credit,visa,8778.0
281,479,debit,mastercard,2973.0
282,4065,credit,mastercard,13640.0
283,4457,credit,visa,9345.0
284,4640,credit,mastercard,9420.0
285,2696,credit,mastercard,3271.0
286,2438,credit,amex,6962.0
287,2919,debit,visa,3632.0
288,4572,credit,amex,4312.0
289,4334,debit,mastercard,1138.0
290,4676,debit,mastercard,2145.0
291,4846,credit,mastercard,8336.0
292,3118,debit,visa,1724.0
293,1296,credit,mastercard,10587.0
294,754,credit,mastercard,7680.0
295,4489,credit,discover,6821.0
296,762,credit,visa,5641.0
297,353,credit,discover,5862.0
298,2362,credit,visa,4491.0
299,3717,credit,discover,5355.0
300,3678,credit,mastercard,7918.0
301,1271,credit,mastercard,14331.0
302,2507,credit,mastercard,6156.0
303,4473,credit,discover,4430.0
304,4000,credit,visa,10771.0
305,4584,credit,visa,2438.0
306,3849,credit,amex,11177.0
307,456,credit,visa,3241.0
308,1019,debit,mastercard,1819.0
309,846,debit,mastercard,1487.0
310,664,credit,mastercard,7789.0
311,4293,debit,amex,1709.0
312,3530,debit,visa,1385.0
313,4569,credit,mastercard,4023.0
314,1602,credit,mastercard,6899.0
315,4900,debit,mastercard,2976.0
316,4657,credit,visa,7256.0
317,531,credit,visa,6784.0
318,4343,credit,mastercard,7219.0
319,554,credit,visa,4014.0
320,2257,debit,mastercard,2452.0
321,904,credit,visa,5451.0
322,2903,credit,amex,12852.0
323,89,credit,mastercard,9887.0
324,4236,debit,mastercard,1585.0
325,2382,credit,amex,5759.0
326,4357,credit,discover,8639.0
327,2167,credit,mastercard,4061.0
328,2785,credit,mastercard,3868.0
329,3691,credit,visa,5266.0
330,4860,credit,mastercard,7881.0
331,1872,debit,mastercard,2739.0
332,2605,debit,visa,1301.0
333,1623,debit,visa,1726.0
334,206,debit,visa,1463.0
335,4366,debit,mastercard,3144.0
336,2814,credit,amex,3810.0
337,1863,credit,visa,14846.0
338,3886,debit,visa,1566.0
339,4094,credit,discover,9469.0
340,4925,credit,visa,2785.0
341,2185,debit,mastercard,1155.0
342,527,debit,visa,1316.0
343,2427,credit,mastercard,8323.0
344,2203,credit,visa,3206.0
345,1038,credit,visa,7593.0
346,2934,debit,mastercard,1605.0
347,2071,credit,visa,4496.0
348,4408,credit,mastercard,8922.0
349,239,debit,discover,1545.0
350,3580,credit,mastercard,5988.0
351,3010,credit,visa,9591.0
352,1157,debit,visa,1621.0
353,1763,credit,visa,7615.0
354,4297,debit,mastercard,2517.0
355,1821,credit,visa,3044.0
356,3322,credit,mastercard,6867.0
357,2563,debit,mastercard,3590.0
358,4476,credit,visa,7096.0
359,3303,debit,visa,1654.0
360,4172,debit,mastercard,1361.0
361,4518,debit,mastercard,1908.0
362,647,credit,visa,9030.0
363,4169,credit,mastercard,3985.0
364,4803,debit,visa,1968.0
365,182,credit,amex,3068.0
366,2272,credit,mastercard,8300.0
367,1275,credit,mastercard,5760.0
368,4913,debit,visa,2151.0
369,1760,credit,amex,7801.0
370,936,credit,mastercard,7637.0
371,479,debit,visa,2029.0
372,3967,credit,mastercard,6748.0
373,294,credit,visa,7291.0
374,1525,credit,mastercard,12899.0
375,2772,credit,mastercard,17127.0
376,225,credit,visa,6576.0
377,874,credit,visa,5136.0
378,4971,credit,mastercard,5265.0
379,2290,debit,mastercard,1894.0
380,1518,credit,visa,5993.0
381,4349,credit,mastercard,2767.0
382,403,credit,visa,11632.0
383,1321,credit,visa,9974.0
384,4303,credit,amex,11770.0
385,3765,credit,mastercard,12992.0
386,2161,credit,visa,7298.0
387,4904,credit,visa,7557.0
388,2883,credit,visa,10974.0
389,3727,credit,visa,3614.0
390,4925,credit,discover,5562.0
391,2522,credit,visa,6440.0
392,2404,debit,visa,3034.0
393,3319,credit,mastercard,5068.0
394,336,debit,visa,1873.0
395,2144,credit,visa,5348.0
396,3456,credit,mastercard,8390.0
397,1895,debit,visa,1859.0
398,3553,debit,visa,3032.0
399,2017,debit,mastercard,3021.0
400,972,credit,discover,7103.0
401,732,credit,amex,7222.0
402,2728,credit,visa,6726.0
403,968,debit,mastercard,1583.0
404,1847,debit,mastercard,3212.0
405,2600,debit,visa,3378.0
406,250,credit,visa,7844.0
407,2103,debit,mastercard,1299.0
408,1559,credit,visa,14746.0
409,1570,credit,amex,3975.0
410,4548,credit,visa,5375.0
411,4625,credit,visa,5607.0
412,1502,credit,amex,12442.0
413,4405,debit,amex,2345.0
414,1116,credit,visa,4464.0
415,1735,credit,mastercard,6292.0
416,4705,debit,mastercard,1756.0
417,509,credit,visa,12067.0
418,1912,debit,mastercard,2203.0
419,4026,debit,mastercard,1665.0
420,4703,credit,visa,4209.0
421,4743,credit,amex,5585.0
422,4402,debit,discover,1616.0
423,4823,credit,visa,8032.0
424,2353,debit,visa,1913.0
425,1616,credit,amex,6633.0
426,1925,debit,mastercard,1320.0
427,604,debit,visa,3023.0
428,689,credit,mastercard,8790.0
429,4869,credit,mastercard,7900.0
430,954,credit,visa,6688.0
431,3082,debit,visa,2795.0
432,1163,debit,mastercard,2834.0
433,3321,credit,discover,6917.0
434,2352,debit,visa,1815.0
435,526,credit,visa,11218.0
436,1861,debit,visa,2421.0
437,3654,debit,visa,697.0
438,4002,debit,visa,1993.0
439,1448,debit,mastercard,1724.0
440,1484,credit,visa,5276.0
441,3649,credit,mastercard,4086.0
442,2123,credit,mastercard,5633.0
443,351,debit,mastercard,1555.0
444,614,credit,visa,7141.0
445,1869,credit,mastercard,5982.0
446,1357,debit,visa,1227.0
447,595,debit,visa,1347.0
448,3916,debit,mastercard,2302.0
449,2295,debit,mastercard,2241.0
450,3536,credit,mastercard,4260.0
451,10,debit,visa,1600.0
452,2012,credit,mastercard,3071.0
453,2391,credit,visa,11201.0
454,2888,credit,mastercard,10622.0
455,4841,debit,visa,3409.0
456,2292,credit,mastercard,13136.0
457,2447,credit,amex,9031.0
458,4477,credit,visa,7344.0
459,1993,debit,mastercard,3180.0
460,1974,debit,mastercard,3887.0
461,799,credit,mastercard,7164.0
462,3611,debit,mastercard,1993.0
463,98,debit,visa,2661.0
464,1093,credit,visa,2969.0
465,2091,credit,visa,4445.0
466,2171,credit,mastercard,16319.0
467,193,debit,visa,1599.0
468,2647,debit,visa,2210.0
469,4860,debit,amex,1717.0
470,524,credit,mastercard,7512.0
471,2468,credit,visa,7727.0
472,2938,credit,mastercard,6132.0
473,1621,credit,visa,10461.0
474,2874,credit,mastercard,14255.0
475,1705,debit,visa,1645.0
476,794,credit,visa,9104.0
477,4203,credit,amex,11606.0
478,4994,credit,visa,4970.0
479,1930,credit,visa,14112.0
480,463,credit,visa,11586.0
481,818,credit,visa,3565.0
482,4477,debit,mastercard,2816.0
483,4405,credit,visa,3660.0
484,2458,credit,visa,4705.0
485,4357,credit,mastercard,9338.0
486,1114,credit,visa,11167.0
487,2002,credit,visa,6970.0
488,564,credit,visa,4842.0
489,2725,credit,amex,5825.0
490,3498,debit,mastercard,2329.0
491,4808,credit,mastercard,10103.0
492,3773,credit,mastercard,5416.0
493,3325,credit,mastercard,4789.0
494,3368,credit,mastercard,3170.0
495,3146,credit,amex,4929.0
496,2100,credit,mastercard,6253.0
497,2501,debit,mastercard,2451.0
498,863,credit,visa,2773.0
499,101,credit,visa,10829.0
500,3948,debit,mastercard,2648.0
501,2481,debit,visa,1596.0
502,4357,debit,visa,1711.0
503,609,debit,visa,2603.0
504,1960,debit,visa,1979.0
505,1287,debit,mastercard,2900.0
506,4207,credit,visa,12781.0
507,1885,credit,mastercard,10319.0
508,3179,credit,visa,5585.0
509,422,credit,mastercard,3895.0
510,2635,credit,visa,3493.0
511,2207,credit,visa,6187.0
512,3054,debit,visa,1424.0
513,2927,credit,visa,4452.0
514,539,credit,visa,6148.0
515,251,credit,mastercard,13346.0
516,627,credit,amex,3117.0
517,1089,credit,mastercard,6734.0
518,3634,credit,visa,3549.0
519,1346,debit,mastercard,908.0
520,4850,debit,visa,2993.0
521,434,credit,mastercard,4341.0
522,2540,debit,mastercard,1922.0
523,3580,debit,visa,1911.0
524,271,debit,mastercard,2364.0
525,2571,credit,visa,5044.0
526,341,credit,visa,12461.0
527,3950,credit,mastercard,5310.0
528,2337,credit,mastercard,8452.0
529,4324,credit,mastercard,6033.0
530,3289,credit,visa,9609.0
531,1585,credit,mastercard,18283.0
532,775,credit,discover,5774.0
533,792,debit,visa,3215.0
534,166,credit,mastercard,5345.0
535,1502,credit,visa,4949.0
536,3648,credit,mastercard,4677.0
537,1774,debit,visa,2309.0
538,731,debit,mastercard,985.0
539,401,credit,visa,4567.0
540,2191,debit,visa,2075.0
541,1050,credit,visa,13260.0
542,3671,credit,visa,15092.0
543,1685,credit,mastercard,9176.0
544,627,credit,visa,4286.0
545,1364,credit,visa,3527.0
546,2214,debit,mastercard,2364.0
547,189,credit,visa,9132.0
548,558,debit,mastercard,1756.0
549,4805,credit,visa,7209.0
550,1738,credit,amex,10187.0
551,3741,debit,visa,2751.0
552,4563,credit,visa,4512.0
553,568,credit,mastercard,10990.0
554,3431,credit,visa,10644.0
555,4166,credit,visa,4043.0
556,116,credit,visa,9932.0
557,1555,credit,visa,6162.0
558,673,credit,mastercard,5823.0
559,160,debit,visa,3074.0
560,1470,credit,mastercard,7941.0
561,915,credit,visa,10346.0
562,4478,credit,mastercard,4339.0
563,1187,credit,visa,8803.0
564,3736,debit,visa,1542.0
565,258,credit,mastercard,6067.0
566,3088,credit,mastercard,6273.0
567,3475,credit,mastercard,10775.0
568,763,credit,visa,6665.0
569,2156,debit,amex,2443.0
570,4645,credit,discover,13534.0
571,3071,credit,discover,5353.0
572,4041,credit,visa,5242.0
573,2124,credit,visa,2596.0
574,1198,credit,mastercard,5953.0
575,2350,debit,visa,3905.0
576,2022,credit,mastercard,5853.0
577,4915,credit,visa,7480.0
578,2142,credit,mastercard,3856.0
579,3137,debit,visa,3619.0
580,2938,credit,amex,2982.0
581,1858,credit,mastercard,5141.0
582,1875,debit,visa,2041.0
583,4224,debit,visa,1849.0
584,1051,credit,visa,14073.0
585,2080,credit,amex,12977.0
586,3335,credit,mastercard,3472.0
587,283,credit,mastercard,6071.0
588,3388,credit,visa,3635.0
589,4164,credit,mastercard,16671.0
590,2212,credit,visa,10052.0
591,2915,debit,discover,2897.0
592,2434,debit,mastercard,2067.0
593,3330,credit,mastercard,3161.0
594,254,debit,mastercard,1329.0
595,3087,debit,visa,1529.0
596,2281,debit,visa,1742.0
597,179,debit,visa,2176.0
598,4002,debit,visa,1927.0
599,759,debit,visa,3221.0
600,2958,credit,mastercard,1316.0
601,4252,credit,mastercard,14488.0
602,4604,credit,mastercard,4775.0
603,3141,debit,visa,1940.0
604,3583,debit,visa,3140.0
605,2925,credit,visa,3652.0
606,3889,credit,visa,6705.0
607,4880,credit,amex,8505.0
608,2293,credit,mastercard,11456.0
609,2065,credit,visa,6638.0
610,868,credit,mastercard,11942.0
611,4897,debit,mastercard,1768.0
612,4561,credit,visa,8706.0
613,3532,debit,visa,1638.0
614,3296,credit,visa,6339.0
615,1024,debit,mastercard,1316.0
616,4548,credit,mastercard,4284.0
617,290,credit,mastercard,5714.0
618,3088,credit,visa,3486.0
619,1268,credit,visa,5320.0
620,2273,debit,visa,3708.0
621,476,credit,visa,8186.0
622,674,credit,mastercard,7739.0
623,1885,credit,visa,2983.0
624,1989,credit,visa,7786.0
625,4408,credit,mastercard,6429.0
626,2988,credit,visa,8679.0
627,157,credit,mastercard,13248.0
628,4654,credit,mastercard,5407.0
629,3053,credit,mastercard,5666.0
630,4147,credit,discover,10499.0
631,4621,credit,mastercard,4906.0
632,2566,debit,mastercard,2591.0
633,897,debit,mastercard,1663.0
634,2240,credit,mastercard,5687.0
635,3434,credit,visa,12740.0
636,167,credit,visa,7846.0
637,4731,credit,visa,10402.0
638,1756,debit,mastercard,1977.0
639,3299,debit,visa,1759.0
640,4907,debit,discover,1157.0
641,4327,debit,mastercard,1971.0
642,3706,credit,visa,20411.0
643,1494,credit,visa,6548.0
644,2624,credit,mastercard,3429.0
645,2508,debit,mastercard,1114.0
646,4312,credit,mastercard,8385.0
647,199,credit,visa,2890.0
648,116,debit,mastercard,1209.0
649,591,credit,amex,5626.0
650,4789,credit,amex,7009.0
651,2703,credit,mastercard,16289.0
652,3499,credit,visa,9357.0
653,473,debit,discover,4054.0
654,67,debit,visa,4121.0
655,3252,debit,visa,2285.0
656,3528,debit,mastercard,1758.0
657,2136,credit,visa,3947.0
658,416,debit,mastercard,1255.0
659,2449,credit,mastercard,3381.0
660,3198,credit,visa,8574.0
661,1068,credit,mastercard,1749.0
662,1505,debit,mastercard,1629.0
663,3734,debit,mastercard,2442.0
664,1061,credit,visa,5280.0
665,496,debit,visa,1462.0
666,3141,credit,visa,3842.0
667,116,credit,mastercard,4354.0
668,2171,credit,mastercard,8732.0
669,2848,debit,visa,2281.0
670,323,debit,visa,661.0
671,3267,credit,mastercard,6268.0
672,4112,credit,mastercard,12828.0
673,4868,credit,visa,12582.0
674,1331,credit,visa,8210.0
675,1636,credit,visa,5554.0
676,3092,debit,amex,1252.0
677,2997,credit,mastercard,4310.0
678,3047,debit,mastercard,1338.0
679,1574,credit,visa,10670.0
680,281,debit,visa,1217.0
681,125,credit,visa,4442.0
682,4987,credit,visa,4175.0
683,2032,credit,visa,8740.0
684,2239,credit,mastercard,5786.0
685,3131,credit,visa,10934.0
686,1027,credit,mastercard,12821.0
687,1910,credit,visa,15544.0
688,2184,credit,visa,6831.0
689,475,credit,visa,10303.0
690,3016,credit,visa,5123.0
691,969,debit,mastercard,2655.0
692,16,credit,mastercard,6459.0
693,3105,debit,mastercard,2555.0
694,1501,credit,mastercard,16514.0
695,3590,credit,visa,3391.0
696,2682,credit,visa,6618.0
697,146,debit,visa,2376.0
698,3473,credit,visa,9151.0
699,204,debit,visa,1383.0
700,1567,credit,mastercard,5713.0
701,3431,debit,mastercard,3188.0
702,2020,credit,visa,2152.0
703,1925,debit,visa,1929.0
704,1107,credit,amex,3181.0
705,2220,debit,mastercard,2416.0
706,1466,credit,mastercard,10655.0
707,4731,debit,visa,1877.0
708,3437,credit,visa,5709.0
709,4545,debit,mastercard,2293.0
710,1687,credit,visa,11352.0
711,4751,debit,mastercard,1781.0
712,1399,credit,visa,8933.0
713,1546,credit,mastercard,3750.0
714,1493,credit,mastercard,7825.0
715,2948,debit,visa,1769.0
716,3064,debit,visa,1791.0
717,325,credit,visa,3058.0
718,2805,credit,mastercard,5720.0
719,4765,credit,amex,14753.0
720,2035,credit,visa,10519.0
721,3499,debit,visa,2614.0
722,3162,credit,amex,6647.0
723,4900,credit,mastercard,7696.0
724,3214,credit,mastercard,5506.0
725,2355,credit,visa,8722.0
726,66,debit,visa,3243.0
727,4020,credit,discover,3799.0
728,1696,credit,visa,5193.0
729,4625,debit,visa,932.0
730,1222,credit,mastercard,5839.0
731,2187,credit,mastercard,7593.0
732,4146,debit,visa,2122.0
733,759,debit,discover,2109.0
734,1378,credit,mastercard,12967.0
735,3960,credit,visa,6651.0
736,1587,credit,visa,13792.0
737,4789,credit,mastercard,13631.0
738,2689,debit,mastercard,2743.0
739,4127,debit,visa,1920.0
740,2737,debit,mastercard,2424.0
741,226,credit,visa,7759.0
742,4055,credit,visa,9540.0
743,2099,debit,discover,3260.0
744,1940,credit,visa,5037.0
745,3682,credit,amex,15151.0
746,1406,credit,visa,5328.0
747,2141,credit,visa,9613.0
748,3042,credit,visa,6512.0
749,2967,credit,amex,6422.0
750,3642,credit,visa,9292.0
751,412,credit,visa,14350.0
752,4963,credit,visa,7727.0
753,3041,credit,mastercard,5196.0
754,3092,debit,visa,1919.0
755,4414,credit,visa,8492.0
756,2454,credit,visa,7224.0
757,152,debit,amex,1883.0
758,666,credit,amex,7794.0
759,4738,debit,discover,3848.0
760,4935,credit,visa,6640.0
761,420,credit,visa,11788.0
762,3425,credit,visa,8275.0
763,3304,credit,mastercard,8261.0
764,826,credit,mastercard,5536.0
765,3937,credit,mastercard,5549.0
766,2299,debit,visa,1437.0
767,1153,credit,visa,4298.0
768,2802,debit,visa,1437.0
769,4526,credit,visa,6685.0
770,1085,debit,visa,937.0
771,3095,debit,visa,1642.0
772,3663,debit,visa,1384.0
773,3127,credit,visa,3908.0
774,3252,credit,discover,15488.0
775,3629,credit,discover,11540.0
776,1169,credit,mastercard,12208.0
777,509,debit,mastercard,3582.0
778,4949,credit,visa,7909.0
779,1599,credit,visa,4150.0
780,4744,credit,visa,9758.0
781,1343,credit,visa,7792.0
782,1328,credit,mastercard,8599.0
783,125,debit,visa,2083.0
784,2210,credit,amex,3945.0
785,4725,credit,mastercard,4816.0
786,4474,credit,visa,7738.0
787,1524,credit,mastercard,5877.0
788,2032,credit,mastercard,7529.0
789,3348,debit,mastercard,2078.0
790,4775,credit,visa,6613.0
791,3021,credit,visa,13327.0
792,1003,debit,mastercard,2223.0
793,1781,credit,mastercard,8082.0
794,3621,debit,visa,2010.0
795,118,credit,amex,5136.0
796,2998,credit,visa,15001.0
797,3846,credit,discover,7931.0
798,1731,credit,visa,7249.0
799,2695,credit,mastercard,9353.0
800,3589,debit,visa,1468.0
801,2976,credit,mastercard,3559.0
802,122,credit,mastercard,6824.0
803,2928,credit,visa,20284.0
804,1155,credit,visa,15179.0
805,3700,credit,discover,6291.0
806,1307,debit,discover,2125.0
807,4891,debit,mastercard,1959.0
808,588,credit,visa,7918.0
809,4454,debit,visa,2683.0
810,170,debit,visa,2084.0
811,3415,debit,mastercard,2072.0
812,1765,credit,visa,15385.0
813,977,credit,visa,5218.0
814,1092,credit,amex,11742.0
815,193,credit,mastercard,5346.0
816,665,credit,mastercard,5049.0
817,1961,credit,amex,8060.0
818,787,credit,mastercard,3466.0
819,4841,credit,visa,9250.0
820,4132,credit,amex,6198.0
821,2362,credit,discover,5037.0
822,475,credit,visa,4524.0
823,4931,credit,visa,17777.0
824,3625,debit,visa,5000.0
825,917,credit,visa,6385.0
826,270,credit,visa,10265.0
827,3099,debit,visa,2204.0
828,204,credit,mastercard,11698.0
829,3072,credit,visa,6517.0
830,2212,debit,amex,775.0
831,4403,debit,mastercard,953.0
832,1910,credit,visa,3837.0
833,2240,credit,mastercard,6909.0
834,2729,debit,mastercard,2185.0
835,4916,debit,mastercard,1743.0
836,3514,credit,amex,7678.0
837,3347,credit,mastercard,6782.0
838,1550,credit,mastercard,12144.0
839,2417,credit,mastercard,11878.0
840,973,debit,visa,2674.0
841,1959,debit,mastercard,4168.0
842,4111,debit,mastercard,1943.0
843,498,credit,discover,9396.0
